arm,block,seed,stage,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent,restart
ext-w8,1,120001,0,42,2647,993.5473416646322,,0.26661766850949276,2.7541830859958973,0.36646419596869906,0
ext-w8,1,120001,0,399,25495,687.7307243347168,,0.0099266662761215291,91.534554515304322,0.017101572502893878,0
ext-w8,1,120001,0,796,50903,685.89818445841468,,0.0003178819356223031,803.24542999102584,0.00068963987978494067,0
ext-w8,1,120001,0,1193,76311,685.79834365844727,,7.4365484225611821e-05,106688.67364639349,0.00037797866661370803,0
ext-w8,1,120001,0,1600,102359,685.79057184855139,,2.7497185104578786e-06,441365.80399939034,9.2706438211129665e-06,0
ext-w8,1,120001,0,1991,127383,685.67144648234046,,0.009277645076588386,45.23440741569204,0.015732847740349862,1
ext-w8,1,120001,0,2420,154839,683.28898874918616,,0.00019343585008328964,525.51562816526598,0.00037594226226707892,1
ext-w8,1,120001,0,2789,178455,683.26839192708337,,1.8790610702289233e-05,5224.419897234342,3.8320798288312894e-05,1
ext-w8,1,120001,0,3199,204695,683.26805750528968,,5.1343434551437905e-06,6906.4027698549789,1.0156145512125057e-05,1
ext-w8,1,120001,0,3609,230935,683.26805750528968,,0.025952405538923601,9.7190249000372919,0.038169097635529989,2
ext-w8,1,120001,0,3973,254231,660.60138829549157,,0.00060995090320963875,167.64662890977706,0.0011073807803883562,2
ext-w8,1,120001,0,4374,279895,660.38452911376953,,1.2423321372938694e-05,2124.5620897582171,2.3193275112900485e-05,2
ext-w8,1,120001,0,4798,307031,660.38382339477539,,0.032477991143241618,6.210790564527823,0.046430137045145994,3
ext-w8,1,120001,0,5167,330647,660.38382339477539,,0.0088363245510995753,705.49434481010212,0.029333416436794314,3
ext-w8,1,120001,0,5561,355863,654.90410232543945,,0.00032147241958573362,2136.2307254682341,0.00083670754673626445,3
ext-w8,1,120001,0,5987,383127,654.85182571411133,,3.9278430379352278e-06,10963.404278261509,1.0678100621007659e-05,3
ext-w8,1,120001,0,6356,406743,654.85182571411133,,0.033375043701975804,5.0901771353871155,0.046588820859667597,4
ext-w8,1,120001,0,6766,432983,654.85182571411133,,0.0029242883589811618,302.55739464102231,0.0058089590908691853,4
ext-w8,1,120001,0,7176,459223,654.85182571411133,,2.4644976774064453e-05,1487.7357103262575,5.4907419367242804e-05,4
ext-w8,1,120001,0,7545,482839,654.85182571411133,,3.7592368110118417e-06,17061.671110474548,1.0604763629662374e-05,4
ext-w8,1,120001,0,7955,509079,654.85182571411133,,0.0096129908675996641,123.29460191988822,0.021861736867382877,5
ext-w8,1,120001,0,8365,535319,654.85182571411133,,0.00010084292096022797,2020.5617715611661,0.00024244552351246674,5
ext-w8,1,120001,0,8734,558935,654.85182571411133,,5.261926865289758e-06,9387.3597417559195,1.2544928578313026e-05,5
ext-w8,1,120001,0,9144,585175,654.85182571411133,,0.010606740362397917,20.532415153561224,0.01642049006130172,6
ext-w8,1,120001,0,9554,611415,654.85182571411133,,0.001690190979907003,1424.4088748867432,0.0046429421663592482,6
ext-w8,1,120001,0,9923,635031,654.85182571411133,,3.8732600159943587e-05,5310.622438221264,9.7763131198992092e-05,6
ext-w8,1,120001,0,10333,661271,654.85182571411133,,0.054810060909128148,5.1802183632334788,0.07444790512993564,7
ext-w8,1,120001,0,10718,685911,643.24478658040368,,0.0076402645209415971,603.55897030443862,0.019474907542209839,7
ext-w8,1,120001,0,11123,711831,623.58061726888025,,0.00097957108576645388,3273.6923750029005,0.0025227888226657591,7
ext-w8,1,120001,0,11522,737367,623.28801472981775,,1.012965896154103e-05,8775.2769788341666,2.5201567410389634e-05,7
ext-w8,1,120001,0,11932,763607,623.28801472981775,,0.032768170351513567,12.731913587587572,0.048721064584353276,8
ext-w8,1,120001,0,12342,789847,623.28801472981775,,0.00087952548284318973,434.67715244301161,0.0015683039909843179,8
ext-w8,1,120001,0,12711,813463,623.28801472981775,,3.040285448276936e-05,2618.1179673910456,5.8053477075774822e-05,8
ext-w8,1,120001,0,13121,839703,623.28801472981775,,0.32242578856706716,2.6135202869091523,0.4397672686975892,9
ext-w8,1,120001,0,13531,865943,623.28801472981775,,0.008898665567348675,233.70639823704624,0.02290656876263205,9
ext-w8,1,120001,0,13900,889559,623.28801472981775,,0.00013566980138933872,3123.188916151058,0.00034222921865507917,9
ext-w8,1,120001,0,14310,915799,623.28801472981775,,5.768015937080265e-06,7334.6735115925148,1.4592359186098143e-05,9
ext-w8,1,120001,0,14720,942039,623.28801472981775,,0.008155673246857828,37.115233926343997,0.014371829245763631,10
ext-w8,1,120001,0,15089,965655,623.28801472981775,,0.00085117261242664843,2226.9558414771468,0.0036717421868500051,10
ext-w8,1,120001,0,15499,991895,623.28801472981775,,9.782306651888773e-06,5975.5311026751524,3.5956679717397939e-05,10
ext-w8,1,120001,0,15909,1018135,623.28801472981775,,0.027814307060306315,9.6180177133176681,0.044551697276621581,11
