arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds,backend
warm-s020,1,115001,12f014f2-eb9c-4880-beaa-5c2a58d17a84,completed,completed,v0.1.0,750.82501983642578,2396160,4015107,3921,1023.931545,cpu
warm-s020,2,115002,2959d131-9b1f-4b60-a6c6-ef1c5404c721,completed,completed,v0.1.0,750.83703740437829,3556352,3775491,3687,967.422973,cpu
warm-s020,3,115003,deec49e9-b872-478e-ab18-4d5e93a3c81b,completed,completed,v0.1.0,750.62523905436194,2031616,3591171,3507,920.174253,cpu
warm-s100,1,115001,47ecc592-34b4-436d-a50d-57baab499d27,completed,completed,v0.1.0,742.55599848429358,3427328,5348355,5223,1356.473243,cpu
warm-s100,2,115002,ed8a19e2-743c-4687-ad19-6e2a86496db2,completed,completed,v0.1.0,742.65755589803064,1201152,5207043,5085,1284.663006,cpu
warm-s100,3,115003,89ab096a-9d87-401d-8071-91bfdcb4b94e,completed,completed,v0.1.0,743.12951151529944,4919296,5163011,5042,1255.276892,cpu
warm-s200,1,115001,a3a2f72f-f97b-4fab-9649-baf39dc63f8d,completed,completed,v0.1.0,742.69359079996741,4605952,4802563,4690,1175.191836,cpu
warm-s200,2,115002,661ca97c-5edb-42cb-b783-288bf6cd1df0,completed,completed,v0.1.0,743.642100016276,5123072,5274627,5151,1206.547668,cpu
warm-s200,3,115003,b41caa4f-2f94-48f6-8e8c-82bbf4338ad2,completed,completed,v0.1.0,751.2118810017904,3516416,4748291,4637,999.469964,cpu
