arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds
sep-cmaes-ipop-l64,5,111005,bf49b723-128b-4f8f-90dd-5e572f712090,completed,completed,v0.1.0,845.84369786580407,6502400,6502403,6022,1965.863358
sep-cmaes-ipop-l20,5,111005,1a06c43a-9658-433c-8dd4-9b6d24795dbd,completed,completed,v0.1.0,832.55387496948242,495020,6502403,9366,1851.404263
cmaes-single,6,111006,ee11d1a0-dcf3-481a-bf98-b7bb6ce83cfc,completed,completed,v0.1.0,1129.9530245463054,1887232,2156547,2106,872.744894
cmaes-ipop,6,111006,435613c4-98c6-40db-803c-7d6f88a414e9,completed,completed,v0.1.0,900.55649058024085,4544512,6502403,3957,2496.443653
cmaes-ipop-l64,6,111006,d782da0d-0d87-44bd-89da-0c9f3647f09b,completed,completed,v0.1.0,852.12366104125977,3176064,6502403,10249,2273.559186
cmaes-ipop-l20,6,111006,add56bbb-b64a-45dc-b62b-082096b22830,completed,completed,v0.1.0,855.57773971557617,6112600,6502403,13368,2136.852541
sep-cmaes-single,6,111006,75c231f0-07b2-4683-a01a-12abe8df13f0,completed,completed,v0.1.0,1042.7758102416992,754688,876547,856,222.506830
sep-cmaes-ipop,6,111006,6945a6b7-3b84-4a6a-b191-d7431ef677fa,completed,completed,v0.1.0,845.38111623128259,6500352,6502403,2933,1694.493899
sep-cmaes-ipop-l64,6,111006,3c309c90-99ac-4976-bb07-b5fc299f00bb,completed,completed,v0.1.0,842.55319468180335,3523072,6502403,6962,1672.667267
sep-cmaes-ipop-l20,6,111006,3d49f58d-7aab-440c-bba0-7b3d2338a6c9,completed,completed,v0.1.0,867.2996724446615,5446980,6502403,8817,1859.050028
cmaes-single,7,111007,bf45cdaf-c02f-436d-8e5a-1a37ef6760e7,completed,completed,v0.1.0,883.55600992838538,1147904,1552387,1516,441.702761
cmaes-ipop,7,111007,a7959ac1-a3da-4a9b-8c3f-71549ac47974,completed,completed,v0.1.0,820.91655222574866,4403200,6502403,3685,1890.235422
cmaes-ipop-l64,7,111007,6c9265dc-8df8-4538-954b-45b78101b141,completed,completed,v0.1.0,893.11604309082031,3006720,6502403,9858,2155.754579
cmaes-ipop-l20,7,111007,785dcb20-a19f-4da9-8b30-014aeeae28ef,completed,completed,v0.1.0,884.29320526123047,6501520,6502403,13293,2237.990936
sep-cmaes-single,7,111007,d2308d1b-d237-4184-bf30-c6e53916b1d7,completed,completed,v0.1.0,849.74995676676429,1230848,1532931,1497,409.307443
sep-cmaes-ipop,7,111007,d70d5d11-0aef-48a3-b8e0-381e72a63639,completed,completed,v0.1.0,849.74995676676429,1230848,6502403,3730,1690.840928
sep-cmaes-ipop-l64,7,111007,357bc1c2-d47b-4156-b36d-036fbac81668,completed,completed,v0.1.0,860.92944208780921,368640,6502403,6525,1905.870855
sep-cmaes-ipop-l20,7,111007,a7cd1599-21d7-4712-a7f4-7f9401ec42b8,completed,completed,v0.1.0,815.63028971354163,2283120,6502403,10632,1803.516807
cmaes-single,8,111008,f72218ab-cfd6-4738-98c8-efa645f9e70c,completed,completed,v0.1.0,869.06100336710608,1329152,1501187,1466,519.799739
cmaes-ipop,8,111008,c69c41ed-e554-42e7-a623-b2827eddd359,completed,completed,v0.1.0,774.64609400431311,4419584,6502403,3510,2048.562486
cmaes-ipop-l64,8,111008,9cf964bc-8b1a-499c-bcc2-5cdacd0b0dcc,completed,completed,v0.1.0,896.44989522298181,6402496,6502403,12209,2137.720473
cmaes-ipop-l20,8,111008,aafa2f1e-1e91-4106-aca6-8fd078f36a21,completed,completed,v0.1.0,931.41701761881507,3822380,6502403,13173,2216.043278
sep-cmaes-single,8,111008,e378ad22-d529-4c6e-8e64-94abff3721d2,completed,completed,v0.1.0,1118.4308611551921,1090560,1215491,1187,293.408450
sep-cmaes-ipop,8,111008,0fef6793-bbfa-47fa-9956-99aefb4191e2,completed,completed,v0.1.0,882.07351430257165,2952192,6502403,3127,1558.767784
