arm,block,seed,stage,restart,regime,population,iterations,evaluations,bestCost,termination
sep-ipop-l20,2,112002,0,4,large,320,759,242880,1240.7958221435547,tol_fun
sep-ipop-l20,2,112002,0,5,large,640,789,504960,901.61298243204749,tol_fun
sep-ipop-l20,2,112002,0,6,large,1280,1075,1376000,888.1254666646322,tol_fun
sep-ipop-l20,2,112002,0,7,large,2560,1587,4061780,1040.1529884338379,maximum_evaluations
sep-ipop-l20-w102,2,112002,0,0,large,20,1110,22200,1191.7685724894206,stagnation
sep-ipop-l20-w102,2,112002,0,1,large,40,1153,46120,1265.3401730855305,stagnation
sep-ipop-l20-w102,2,112002,0,2,large,80,1157,92560,889.25490188598633,stagnation
sep-ipop-l20-w102,2,112002,0,3,large,160,986,157760,1239.3267097473145,stagnation
sep-ipop-l20-w102,2,112002,0,4,large,320,634,202880,891.75871531168616,tol_fun
sep-ipop-l20-w102,2,112002,0,5,large,640,1254,802560,910.74819183349609,stagnation
sep-ipop-l20-w102,2,112002,0,6,large,1280,435,556800,1033.9309895833333,stagnation
sep-ipop-l20-w102,2,112002,0,7,large,2560,934,2391040,942.80239741007483,stagnation
sep-ipop-l20-w102,2,112002,0,8,large,5120,436,2230480,1013.6208712259928,maximum_evaluations
sep-ipop-l20-w204,2,112002,0,0,large,20,1212,24240,1191.7685724894206,stagnation
sep-ipop-l20-w204,2,112002,0,1,large,40,2153,86120,1268.9748318990071,stagnation
sep-ipop-l20-w204,2,112002,0,2,large,80,1203,96240,879.36867777506507,tol_fun
sep-ipop-l20-w204,2,112002,0,3,large,160,1360,217600,1113.899356842041,tol_fun
sep-ipop-l20-w204,2,112002,0,4,large,320,921,294720,1083.4878972371419,tol_fun
sep-ipop-l20-w204,2,112002,0,5,large,640,1060,678400,1002.3777300516764,tol_fun
sep-ipop-l20-w204,2,112002,0,6,large,1280,1116,1428480,943.33135477701819,tol_fun
sep-ipop-l20-w204,2,112002,0,7,large,2560,988,2529280,1027.669640858968,stagnation
sep-ipop-l20-w204,2,112002,0,8,large,5120,224,1147320,1127.0836550394695,maximum_evaluations
sep-ipop-l20-w816,2,112002,0,0,large,20,2137,42740,1191.58118947347,condition_number
sep-ipop-l20-w816,2,112002,0,1,large,40,1497,59880,1316.8008206685383,tol_fun
sep-ipop-l20-w816,2,112002,0,2,large,80,1011,80880,1022.3934987386068,tol_fun
