arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber,distributionExtent
cmaes-single,1,111001,1290,1320960,911.22232818603516,,0.68385042303666566,102885515565.47208,0.013425785796257835
cmaes-single,1,111001,1315,1346560,911.22232818603516,,0.74819304872539982,108230751143.84877,0.01415378494281749
cmaes-single,1,111001,1340,1372160,911.22232818603516,,0.76281912883506064,115983010464.63477,0.013787353917943564
cmaes-single,1,111001,1365,1397760,911.22232818603516,,0.75757217156494583,121185733431.5442,0.013461650273898389
cmaes-single,1,111001,1390,1423360,911.22232818603516,,0.73244596357647784,119538849005.86621,0.012321793239190314
cmaes-single,1,111001,1408,1441792,911.22232818603516,,0.61896555022316668,131285690090.84174,0.010255157455809813
cmaes-ipop,1,111001,1,1024,17388.415322621662,,0.28721553943396272,1.1159929067231362,0.27918199009620265
cmaes-ipop,1,111001,5,5120,2801.6680285135903,,0.38228161713046671,1.8933204842774998,0.42949462631444996
cmaes-ipop,1,111001,10,10240,2211.7227045694985,,0.7066011981952024,2.6954569674564444,0.87313311054622245
cmaes-ipop,1,111001,20,20480,1871.0012817382812,,0.78762274318849601,3.1658222035133661,0.94325005431345177
cmaes-ipop,1,111001,25,25600,1871.0012817382812,,0.7524858558092562,3.2465303601986624,0.86268730218311596
cmaes-ipop,1,111001,40,40960,1812.9500910441081,,0.6533180136512885,4.6654931107552544,0.67217971066564075
cmaes-ipop,1,111001,50,51200,1655.1579615275066,,0.58514588265509682,5.3647494509423241,0.53078611889566452
cmaes-ipop,1,111001,75,76800,1581.4470761617024,,0.44600122721524527,7.1939324599047811,0.32141099757070452
cmaes-ipop,1,111001,80,81920,1581.4470761617024,,0.41253122577658224,7.8146240396425855,0.28985837124809249
cmaes-ipop,1,111001,100,102400,1486.6555887858074,,0.37834343024246708,24.807444585529801,0.27905719380817862
cmaes-ipop,1,111001,125,128000,1418.8303337097168,,0.35216882306550173,57.761948024903532,0.22971324160699433
cmaes-ipop,1,111001,149,152576,1381.3376108805339,,0.38787317742480615,258.778587688573,0.23863745500172506
cmaes-ipop,1,111001,160,163840,1362.3163274129231,,0.40281525769269483,439.83834863764145,0.23957490750449656
cmaes-ipop,1,111001,174,178176,1325.6680246988933,,0.39019886567206274,738.94472798413278,0.22797485772644921
cmaes-ipop,1,111001,199,203776,1285.430965423584,,0.4173679717508037,1176.1896615590747,0.21884104681578012
cmaes-ipop,1,111001,224,229376,1222.619686126709,,0.46899960965065807,1760.7114817227639,0.2167667905081192
cmaes-ipop,1,111001,249,254976,1166.7141024271648,,0.57605480873828185,3204.1722803718353,0.2350382821154951
cmaes-ipop,1,111001,255,261120,1135.2002792358398,,0.63441369488704802,3771.8381257865608,0.2578754826372906
cmaes-ipop,1,111001,273,279552,1104.8423309326172,,0.6317899478995419,4125.8595183493171,0.22229520020733484
cmaes-ipop,1,111001,298,305152,1065.3084780375164,,0.66064123534616204,5269.9944919797163,0.20759133565083546
cmaes-ipop,1,111001,323,330752,1035.0683809916179,,0.73146787433734151,7584.8046694902923,0.2121031953383716
cmaes-ipop,1,111001,348,356352,1011.799378712972,,1.1628915629787799,8043.9616571216502,0.27259523456752827
cmaes-ipop,1,111001,373,381952,988.4908777872721,,1.058303590848866,10555.567795918258,0.20745738014513623
cmaes-ipop,1,111001,397,406528,965.53936386108398,,1.3682973702754535,20004.081807893883,0.25975294616509031
cmaes-ipop,1,111001,422,432128,940.40614064534509,,1.6722394048729061,7530.451146486992,0.15495248704126877
cmaes-ipop,1,111001,447,457728,929.43830998738611,,1.4412113650650407,7600.0741990253255,0.088489841295787006
cmaes-ipop,1,111001,472,483328,920.68233871459961,,1.7442063999324526,10619.493426964398,0.082877821151323944
cmaes-ipop,1,111001,497,508928,916.75881195068359,,1.6228889407636018,15219.268956182163,0.06181071387180212
cmaes-ipop,1,111001,521,533504,913.63579686482751,,1.3503042179976397,26049.536102215032,0.046296018967934331
cmaes-ipop,1,111001,546,559104,913.1734949747721,,1.2602755772105581,44109.427968838696,0.041702517561904996
cmaes-ipop,1,111001,571,584704,912.66681543985999,,1.2010433309533488,122045.60892348677,0.036319128483011782
cmaes-ipop,1,111001,596,610304,912.22276560465491,,1.0478908780793648,307090.36543577729,0.028677451053173188
cmaes-ipop,1,111001,621,635904,912.10223642985022,,1.0666225414265342,607477.90643773647,0.026678605997921098
cmaes-ipop,1,111001,645,660480,911.84264882405603,,0.92432203259526091,963383.64675135072,0.02279285063630079
cmaes-ipop,1,111001,670,686080,911.77861913045251,,0.82256780810869012,1501270.7460705771,0.020548413932556634
cmaes-ipop,1,111001,695,711680,911.68539301554358,,0.79725918420726616,2080507.8186428456,0.019188275055645111
cmaes-ipop,1,111001,720,737280,911.62182998657227,,0.81656362779664149,4156107.9452362922,0.019921088127989747
cmaes-ipop,1,111001,745,762880,911.50388209025061,,0.72772014004921737,6026951.5215753866,0.016435732466140655
cmaes-ipop,1,111001,769,787456,911.45518620808923,,0.72335878094762107,10469843.380011898,0.016321041650168809
cmaes-ipop,1,111001,794,813056,911.42973709106445,,0.72071336678218001,24733851.595486231,0.016166979718485051
cmaes-ipop,1,111001,819,838656,911.34763971964514,,0.72809661576442375,44748513.61841204,0.016461580876147013
cmaes-ipop,1,111001,844,864256,911.29251098632812,,0.89474723108329468,65290003.106067546,0.018915022703408762
cmaes-ipop,1,111001,869,889856,911.27102279663086,,0.90399561417775232,118982471.05021749,0.019569525769483131
cmaes-ipop,1,111001,893,914432,911.25617090860999,,0.86145718185518305,182617058.87192893,0.018091467762129332
cmaes-ipop,1,111001,918,940032,911.24441528320312,,0.9377543637609036,255655316.52289721,0.018813178482054733
cmaes-ipop,1,111001,943,965632,911.24237187703454,,0.96736002919555797,459175615.68100536,0.017912920384616011
cmaes-ipop,1,111001,968,991232,911.23749796549475,,0.92173406050449092,1459610234.7946987,0.017539675013395931
cmaes-ipop,1,111001,993,1016832,911.23214213053382,,0.94096724080241445,2677362775.2310586,0.017849252139858031
cmaes-ipop,1,111001,1017,1041408,911.22966639200843,,0.88588038257812907,5059391055.5539179,0.016850368838603195
cmaes-ipop,1,111001,1042,1067008,911.22380574544275,,0.98089594692616744,12565823959.096512,0.019126704924587255
cmaes-ipop,1,111001,1067,1092608,911.22289148966468,,0.8995796548835302,20056008623.133041,0.016427664899292746
cmaes-ipop,1,111001,1092,1118208,911.22253672281897,,0.95109243132352395,29927260055.634068,0.017658539770090579
cmaes-ipop,1,111001,1117,1143808,911.22253672281897,,0.946282550072305,42548953919.692116,0.017735332152896723
cmaes-ipop,1,111001,1142,1169408,911.22253672281897,,0.90511503890995038,49136941440.236977,0.016297202614132582
cmaes-ipop,1,111001,1166,1193984,911.22253672281897,,0.89157113611511152,57746270229.19281,0.016645532762770313
cmaes-ipop,1,111001,1191,1219584,911.22232818603516,,0.75053552020724457,67514793608.491638,0.014132403058181321
cmaes-ipop,1,111001,1216,1245184,911.22232818603516,,0.69232024718656815,78964825486.374176,0.01321483314443944
cmaes-ipop,1,111001,1241,1270784,911.22232818603516,,0.62544822853611248,87831828198.928314,0.011988723710372099
cmaes-ipop,1,111001,1266,1296384,911.22232818603516,,0.63143337526526799,100464753121.96516,0.01293933562156727
cmaes-ipop,1,111001,1290,1320960,911.22232818603516,,0.68385042303666566,102885515565.47208,0.013425785796257835
cmaes-ipop,1,111001,1315,1346560,911.22232818603516,,0.74819304872539982,108230751143.84877,0.01415378494281749
cmaes-ipop,1,111001,1340,1372160,911.22232818603516,,0.76281912883506064,115983010464.63477,0.013787353917943564
cmaes-ipop,1,111001,1365,1397760,911.22232818603516,,0.75757217156494583,121185733431.5442,0.013461650273898389
cmaes-ipop,1,111001,1390,1423360,911.22232818603516,,0.73244596357647784,119538849005.86621,0.012321793239190314
cmaes-ipop,1,111001,1411,1447936,911.22232818603516,,0.46026085493385882,2.2047058751900788,0.57614372247416001
cmaes-ipop,1,111001,1424,1474560,911.22232818603516,,0.65651411503600343,6.3470490403481463,0.82431958849248577
cmaes-ipop,1,111001,1436,1499136,911.22232818603516,,0.68618308169865994,11.125565368096002,0.75907417807090738
cmaes-ipop,1,111001,1449,1525760,911.22232818603516,,0.68003234785912992,10.943693161374151,0.52898002514255971
cmaes-ipop,1,111001,1461,1550336,911.22232818603516,,0.67068183662237257,11.308481735548433,0.41676736724075358
cmaes-ipop,1,111001,1473,1574912,911.22232818603516,,0.65205016152835216,17.438582136762111,0.35852136612858954
cmaes-ipop,1,111001,1486,1601536,911.22232818603516,,0.70407951038438177,67.094769977762184,0.37352734777381974
cmaes-ipop,1,111001,1498,1626112,911.22232818603516,,0.78276797435396595,143.54787264365265,0.39154848644157814
cmaes-ipop,1,111001,1511,1652736,911.22232818603516,,0.8542018523613073,202.95292116473468,0.34033822287563997
cmaes-ipop,1,111001,1523,1677312,911.22232818603516,,0.91434644318405833,391.39361054956555,0.33206521527707256
cmaes-ipop,1,111001,1535,1701888,911.22232818603516,,0.9730259832163517,706.48874497474435,0.3293796166896294
cmaes-ipop,1,111001,1548,1728512,911.22232818603516,,1.0769849383833874,1058.0520883723316,0.31047604593599915
cmaes-ipop,1,111001,1560,1753088,911.22232818603516,,1.2248651541188758,1197.5976049137018,0.2869116349373535
cmaes-ipop,1,111001,1573,1779712,911.22232818603516,,1.5013411155375005,1697.7014191358689,0.31569889443629873
cmaes-ipop,1,111001,1585,1804288,911.22232818603516,,1.6606434759584785,2065.3187949058351,0.30141844991276245
cmaes-ipop,1,111001,1597,1828864,911.22232818603516,,1.9259612042814516,2612.790919307889,0.31356627378945884
cmaes-ipop,1,111001,1610,1855488,911.22232818603516,,2.3137092112516711,2790.0541536199235,0.30583806119304657
cmaes-ipop,1,111001,1622,1880064,911.22232818603516,,2.9181388540949698,2559.3764604264702,0.29299621790593217
cmaes-ipop,1,111001,1635,1906688,911.22232818603516,,3.4370474623685219,2960.1070742666061,0.27873766011048073
cmaes-ipop,1,111001,1647,1931264,911.22232818603516,,3.830167903892312,4069.6588710861797,0.27030742593550189
cmaes-ipop,1,111001,1659,1955840,911.22232818603516,,4.3489878647594571,10005.47141312217,0.26174687910574884
cmaes-ipop,1,111001,1672,1982464,911.22232818603516,,4.9548815364240602,22705.917008596625,0.24465959577886012
cmaes-ipop,1,111001,1684,2007040,911.22232818603516,,5.5378377983817817,32386.061226451478,0.20381019555729951
cmaes-ipop,1,111001,1697,2033664,911.22232818603516,,6.2231048232618367,44533.712190392092,0.17026873063805961
cmaes-ipop,1,111001,1709,2058240,909.37510935465491,,6.7624237996941785,61034.820868120005,0.14459479693477553
cmaes-ipop,1,111001,1721,2082816,902.54684829711914,,7.5220811496580549,93967.69344796268,0.13722541210674313
cmaes-ipop,1,111001,1734,2109440,899.89742914835608,,11.308593548842282,148156.33597937561,0.177171312624608
cmaes-ipop,1,111001,1746,2134016,895.55303955078125,,15.167427928734318,170148.30636854062,0.18248606206657775
cmaes-ipop,1,111001,1759,2160640,891.35385131835938,,19.477938735327665,203989.46706949826,0.1800585329872896
cmaes-ipop,1,111001,1771,2185216,888.97558975219727,,19.775733818056537,295260.80464789149,0.15577726767717959
cmaes-ipop,1,111001,1784,2211840,886.28913497924805,,21.080243137929269,392376.68491461844,0.13585277328539627
cmaes-ipop,1,111001,1796,2236416,884.62245051066077,,21.41761129696139,602795.43492186279,0.12366753173097288
cmaes-ipop,1,111001,1808,2260992,883.65412394205725,,25.84461915339601,859844.06185897975,0.13701810462170042
cmaes-ipop,1,111001,1821,2287616,882.89836502075195,,34.604332793816027,745559.9743657643,0.1252055269280502
cmaes-ipop,1,111001,1833,2312192,881.70803960164392,,48.569140952983872,505180.99908550765,0.11592605331968549
cmaes-ipop,1,111001,1846,2338816,880.93759791056311,,72.963273778395603,371604.56759075308,0.11729773174373954
cmaes-ipop,1,111001,1858,2363392,879.784922281901,,74.444334532194702,384919.05078124336,0.093087183478555852
cmaes-ipop,1,111001,1870,2387968,878.72153345743811,,71.044915545208639,529751.69553598366,0.080467490607159228
cmaes-ipop,1,111001,1883,2414592,877.70172246297204,,70.064641004620654,763210.78289277712,0.073312345850218397
cmaes-ipop,1,111001,1895,2439168,877.65534210205078,,70.220642015626723,994493.97140077315,0.06963744219958036
cmaes-ipop,1,111001,1908,2465792,877.58350499471032,,71.883288911802126,1295144.8716603599,0.067586777492235212
cmaes-ipop,1,111001,1920,2490368,877.30122502644861,,75.053413642521434,1537367.2109733191,0.066137436731166857
cmaes-ipop,1,111001,1932,2514944,877.10682042439782,,74.024206074937325,1681784.3718701063,0.060325124408620624
cmaes-ipop,1,111001,1945,2541568,876.79548136393225,,71.429707877533602,1935883.3966112987,0.05521226894160159
cmaes-ipop,1,111001,1957,2566144,876.62236277262366,,72.522486193672506,2091775.6787612524,0.053427029166404266
cmaes-ipop,1,111001,1970,2592768,876.33295949300134,,73.502208804788225,2927407.2038165284,0.052782884415017488
cmaes-ipop,1,111001,1982,2617344,876.01935450235999,,77.208293061826339,4018927.7117672586,0.053006137868989091
cmaes-ipop,1,111001,1994,2641920,875.89896011352539,,81.627800275768749,4387055.9681035997,0.049886987087977966
cmaes-ipop,1,111001,2007,2668544,875.74301910400391,,86.472516363125663,5299524.9999681702,0.0485527193877653
cmaes-ipop,1,111001,2019,2693120,875.69646962483728,,85.233829142078207,6061041.5304284142,0.043211194705619217
cmaes-ipop,1,111001,2032,2719744,875.58362706502282,,88.450903028443747,7545718.5682992795,0.040522183970019887
cmaes-ipop,1,111001,2044,2744320,875.46103032430017,,101.59031940209806,8715384.3703855667,0.04073917236076597
cmaes-ipop,1,111001,2056,2768896,875.22368113199866,,109.37110074942001,10048368.731844926,0.038032230974360523
cmaes-ipop,1,111001,2069,2795520,875.17939758300781,,114.56042606685494,13926505.137525246,0.034698876480110961
cmaes-ipop,1,111001,2081,2820096,875.01935195922852,,151.60877534992665,20915960.653557375,0.041181191749022281
cmaes-ipop,1,111001,2094,2846720,874.97975158691406,,144.83075241180993,30269513.543219931,0.03498936225108399
cmaes-ipop,1,111001,2106,2871296,874.89692306518555,,159.35845070766618,57087692.713946328,0.034857973335463754
cmaes-ipop,1,111001,2118,2895872,874.88569641113281,,179.09097682712181,102813157.08186026,0.034190225918607903
cmaes-ipop,1,111001,2131,2922496,874.80411402384436,,192.09538537258811,179007865.78080451,0.033138084070453162
cmaes-ipop,1,111001,2143,2947072,874.70865631103516,,198.40169994409604,246004928.27459314,0.031599565906916822
cmaes-ipop,1,111001,2156,2973696,874.70865631103516,,209.10744469483183,352512404.66460431,0.030529479813811159
cmaes-ipop,1,111001,2168,2998272,874.68925476074219,,229.84778083446409,506087148.64318484,0.029692196821601277
cmaes-ipop,1,111001,2180,3022848,874.68059666951501,,235.14514678855349,721212045.45430434,0.027750863707526999
cmaes-ipop,1,111001,2193,3049472,874.64937337239587,,254.02375819322964,1178485823.5586982,0.027796365054898738
cmaes-ipop,1,111001,2205,3074048,874.62881596883142,,262.30331505013544,1801183958.3904932,0.026863177114938939
cmaes-ipop,1,111001,2218,3100672,874.62072372436523,,285.8731578488389,2375862155.5760789,0.027267904960535997
cmaes-ipop,1,111001,2230,3125248,874.60077667236328,,300.4788485430841,2989017494.5734921,0.027554882045102209
cmaes-ipop,1,111001,2242,3149824,874.58986409505212,,327.92218208964238,3380639907.1868482,0.027543639040602055
cmaes-ipop,1,111001,2255,3176448,874.56670125325525,,333.58153258673855,4137649888.9056988,0.027418220924374404
cmaes-ipop,1,111001,2267,3201024,874.56504948933923,,358.42585177935553,4225849460.2740164,0.026627090120910892
cmaes-ipop,1,111001,2280,3227648,874.54993565877282,,387.67976874470685,7392278634.8670397,0.026095125086998669
cmaes-ipop,1,111001,2292,3252224,874.518564860026,,433.59142951544749,12368853409.523985,0.028715464283802988
cmaes-ipop,1,111001,2304,3276800,874.51018269856775,,640.8415350279198,12157215371.916214,0.034815938951900841
cmaes-ipop,1,111001,2317,3303424,874.5028292338053,,652.35432633452842,9865470567.6994095,0.026964806992256351
cmaes-ipop,1,111001,2329,3328000,874.49850591023767,,628.81662895898501,12508822583.85454,0.023865895270663517
cmaes-ipop,1,111001,2342,3354624,874.49544652303064,,695.0587240446697,14405524042.028521,0.024211783516274663
cmaes-ipop,1,111001,2354,3379200,874.48152160644531,,766.82083303880108,15848844763.238409,0.024422869670929642
cmaes-ipop,1,111001,2366,3403776,874.48111089070642,,959.18001133423695,16604949225.065161,0.026512626665448659
cmaes-ipop,1,111001,2379,3430400,874.47827911376953,,1005.6541948689598,14722670779.166555,0.023962115342276595
cmaes-ipop,1,111001,2391,3454976,874.47534815470374,,972.20407122372546,15470737739.582153,0.022182658504069277
cmaes-ipop,1,111001,2404,3481600,874.47378540039062,,1029.4638838289925,16244192931.157562,0.022067732709553138
cmaes-ipop,1,111001,2416,3506176,874.47125371297204,,1048.8032178356711,18040326456.825546,0.021511198044559164
cmaes-ipop,1,111001,2428,3530752,874.47125371297204,,1122.4328421262919,20875785130.277191,0.022949135582258737
cmaes-ipop,1,111001,2441,3557376,874.4688606262207,,1280.5430519115253,24454113580.184734,0.025550457630511076
cmaes-ipop,1,111001,2453,3581952,874.46769841512048,,1417.1363090644272,23124013820.396023,0.024869584125122916
cmaes-ipop,1,111001,2466,3608576,874.46687952677405,,1518.9619122062313,22075497311.924664,0.024171169294300979
cmaes-ipop,1,111001,2478,3633152,874.46629333496094,,1581.038264530923,21195198212.511925,0.022807354705954408
cmaes-ipop,1,111001,2490,3657728,874.46603266398108,,1788.7993573746128,44964142691.494125,0.024408901942051628
cmaes-ipop,1,111001,2503,3684352,874.46603266398108,,1837.0224909928986,82068959114.689667,0.022119417250763378
cmaes-ipop,1,111001,2515,3708928,874.46603266398108,,1715.6990799430023,90779473878.530014,0.018652415614436715
cmaes-ipop,1,111001,2528,3735552,874.46603266398108,,1622.6832166283054,103033357244.56746,0.017239521612225514
cmaes-ipop,1,111001,2540,3760128,874.46603266398108,,1507.146817609439,101974211159.39571,0.015556516653592012
cmaes-ipop,1,111001,2552,3784704,874.46603266398108,,1533.2842467949122,115886276834.20746,0.015766100821847435
cmaes-ipop,1,111001,2565,3811328,874.46603266398108,,1980.3579064181806,117624332952.11801,0.019585913345590227
cmaes-ipop,1,111001,2577,3835904,874.46603266398108,,2188.5305503641525,121262740732.19905,0.019824178057516021
cmaes-ipop,1,111001,2590,3862528,874.46603266398108,,2284.5667942843211,142718626394.75626,0.019947153954603527
cmaes-ipop,1,111001,2602,3887104,874.46603266398108,,2283.282849078254,159705729344.49869,0.019569369945023691
cmaes-ipop,1,111001,2614,3911680,874.46603266398108,,2322.3620382036702,185319041435.56403,0.019898160304972178
cmaes-ipop,1,111001,2627,3938304,874.46603266398108,,2221.8694425275667,178559182762.61914,0.018222924867457899
cmaes-ipop,1,111001,2639,3962880,874.46603266398108,,2283.4259436910211,192475604863.60098,0.018754966104193936
cmaes-ipop,1,111001,2652,3989504,874.46603266398108,,2060.9816835464767,231349511782.67545,0.016797999786762354
cmaes-ipop,1,111001,2664,4014080,874.46603266398108,,2104.7646125124456,226325961610.54593,0.016572342645591039
cmaes-ipop,1,111001,2676,4038656,874.46603266398108,,2151.8388679453628,253473679687.27817,0.017470458539342076
cmaes-ipop,1,111001,2689,4065280,874.46603266398108,,2066.8675218468838,278895511699.07898,0.016721029262928594
cmaes-ipop,1,111001,2701,4089856,874.46603266398108,,1963.2287924577556,305950736414.74524,0.015379320041372468
cmaes-ipop,1,111001,2714,4116480,874.46603266398108,,1932.4661931275311,298128334921.44031,0.014390798703990928
cmaes-ipop,1,111001,2726,4141056,874.46603266398108,,1922.9748950800697,297523930140.56671,0.013791927262054493
cmaes-ipop,1,111001,2738,4165632,874.46603266398108,,1994.4034535053902,272134829508.35025,0.014236048010627014
cmaes-ipop,1,111001,2751,4192256,874.46603266398108,,1973.2980128245376,292868193665.70374,0.013684686975332571
cmaes-ipop,1,111001,2763,4216832,874.46603266398108,,1800.9470635690584,311286313796.52032,0.012893538159025632
cmaes-ipop,1,111001,2776,4243456,874.46603266398108,,2050.5267595968594,366267651953.67114,0.014390179359704896
cmaes-ipop,1,111001,2788,4268032,874.46603266398108,,1963.737983164061,340371273729.97607,0.012720832508245229
cmaes-ipop,1,111001,2800,4292608,874.46603266398108,,1881.3299613499353,387228264900.69647,0.011886003157747687
cmaes-ipop,1,111001,2813,4319232,874.46603266398108,,1977.9192326172194,393938262395.12378,0.012550157177521925
cmaes-ipop,1,111001,2825,4343808,874.46603266398108,,2088.416626314493,438297458371.65729,0.013567097998360202
cmaes-ipop,1,111001,2838,4370432,874.46603266398108,,2041.0608948649351,458832753347.84711,0.012699240207652606
cmaes-ipop,1,111001,2850,4395008,874.46603266398108,,2281.6002767391724,540788407407.1087,0.014473458854105141
cmaes-ipop,1,111001,2863,4421632,874.46603266398108,,2188.5165809264963,535678890331.43195,0.013413532443619409
cmaes-ipop,1,111001,2875,4446208,874.46603266398108,,2214.0030369542296,571194917876.91394,0.013245563706499033
cmaes-ipop,1,111001,2887,4470784,874.46603266398108,,2040.4642918529487,541611400573.6861,0.01177411392889577
cmaes-ipop,1,111001,2900,4497408,874.46603266398108,,2065.7234995489789,582439029240.45422,0.011708619729083096
cmaes-ipop,1,111001,2912,4521984,874.46603266398108,,2064.5199482787248,591996792809.07275,0.01140682216210691
cmaes-ipop,1,111001,2925,4548608,874.46603266398108,,2094.2165503894653,623885298971.97864,0.011679318892561527
