arm,block,seed,stage,restart,regime,population,iterations,evaluations,bestCost,termination
sep-ipop-s050,4,114004,0,1,large,2048,2262,4632576,836.99214426676429,tol_fun
sep-ipop-s050,4,114004,0,2,large,4096,1406,5758976,897.50521469116211,tol_fun
sep-ipop-s050,4,114004,0,3,large,8192,170,1394688,1273.5259399414062,maximum_evaluations
sep-ipop,5,114005,0,0,large,1024,974,997376,889.0550320943197,tol_fun
sep-ipop,5,114005,0,1,large,2048,3087,6322176,947.55906804402673,tol_fun
sep-ipop,5,114005,0,2,large,4096,1285,5263360,868.60967127482093,maximum_evaluations
blk-ipop,5,114005,0,0,large,1024,532,544768,964.90529632568359,tol_fun
blk-ipop,5,114005,0,1,large,2048,862,1765376,855.45672861735022,tol_fun
blk-ipop,5,114005,0,2,large,4096,1090,4464640,877.06896845499671,tol_fun
blk-ipop,5,114005,0,3,large,8192,709,5808128,864.12767791748047,maximum_evaluations
sep-ipop-s015,5,114005,0,0,large,1024,1067,1092608,844.63464991251624,tol_fun
sep-ipop-s015,5,114005,0,1,large,2048,983,2013184,951.34879938761389,tol_fun
sep-ipop-s015,5,114005,0,2,large,4096,1791,7335936,937.31428146362305,tol_fun
sep-ipop-s015,5,114005,0,3,large,8192,261,2141184,1041.6500651041667,maximum_evaluations
sep-ipop-s050,5,114005,0,0,large,1024,972,995328,919.59562428792321,tol_fun
sep-ipop-s050,5,114005,0,1,large,2048,1078,2207744,824.68245951334632,tol_fun
sep-ipop-s050,5,114005,0,2,large,4096,2290,9379840,890.21259816487634,maximum_evaluations
sep-ipop,6,114006,0,0,large,1024,974,997376,948.12235514322913,tol_fun
sep-ipop,6,114006,0,1,large,2048,1320,2703360,864.26234308878577,tol_fun
sep-ipop,6,114006,0,2,large,4096,1888,7733248,884.26816813151038,tol_fun
sep-ipop,6,114006,0,3,large,8192,140,1148928,1279.2876815795898,maximum_evaluations
blk-ipop,6,114006,0,0,large,1024,696,712704,915.50990168253577,tol_fun
blk-ipop,6,114006,0,1,large,2048,883,1808384,859.47916793823242,tol_fun
blk-ipop,6,114006,0,2,large,4096,1057,4329472,796.13070933024085,tol_fun
blk-ipop,6,114006,0,3,large,8192,700,5732352,793.07600529988611,maximum_evaluations
sep-ipop-s015,6,114006,0,0,large,1024,1289,1319936,1098.2206001281738,tol_fun
sep-ipop-s015,6,114006,0,1,large,2048,1438,2945024,909.35032145182288,tol_fun
sep-ipop-s015,6,114006,0,2,large,4096,1322,5414912,922.47812525431311,tol_fun
sep-ipop-s015,6,114006,0,3,large,8192,354,2903040,949.1903076171875,maximum_evaluations
sep-ipop-s050,6,114006,0,0,large,1024,1106,1132544,1126.9435475667317,tol_fun
sep-ipop-s050,6,114006,0,1,large,2048,1940,3973120,851.65842056274414,tol_fun
sep-ipop-s050,6,114006,0,2,large,4096,1543,6320128,894.98268890380859,tol_fun
sep-ipop-s050,6,114006,0,3,large,8192,141,1157120,1277.7457656860352,maximum_evaluations
sep-ipop,7,114007,0,0,large,1024,1285,1315840,977.43278503417969,tol_fun
sep-ipop,7,114007,0,1,large,2048,942,1929216,860.28712844848633,tol_fun
sep-ipop,7,114007,0,2,large,4096,2280,9337856,926.94925689697266,maximum_evaluations
blk-ipop,7,114007,0,0,large,1024,818,837632,865.6778678894043,tol_fun
blk-ipop,7,114007,0,1,large,2048,755,1546240,870.68097305297852,tol_fun
blk-ipop,7,114007,0,2,large,4096,945,3870720,828.28727213541663,tol_fun
blk-ipop,7,114007,0,3,large,8192,773,6328320,726.19843546549475,maximum_evaluations
sep-ipop-s015,7,114007,0,0,large,1024,819,838656,890.4857292175293,tol_fun
sep-ipop-s015,7,114007,0,1,large,2048,1534,3141632,1134.8509368896484,tol_fun
sep-ipop-s015,7,114007,0,2,large,4096,1890,7741440,929.37842559814453,tol_fun
sep-ipop-s015,7,114007,0,3,large,8192,105,861184,1389.5981254577637,maximum_evaluations
sep-ipop-s050,7,114007,0,0,large,1024,1066,1091584,1033.8908309936523,tol_fun
sep-ipop-s050,7,114007,0,1,large,2048,2435,4986880,1184.6913592020671,tol_fun
sep-ipop-s050,7,114007,0,2,large,4096,1588,6504448,821.71642684936523,maximum_evaluations
sep-ipop,8,114008,0,0,large,1024,944,966656,984.67933654785156,tol_fun
sep-ipop,8,114008,0,1,large,2048,1961,4016128,835.67383193969727,tol_fun
sep-ipop,8,114008,0,2,large,4096,1791,7335936,856.54745992024743,tol_fun
sep-ipop,8,114008,0,3,large,8192,32,264192,1542.7020111083984,maximum_evaluations
blk-ipop,8,114008,0,0,large,1024,723,740352,787.47299702962243,tol_fun
blk-ipop,8,114008,0,1,large,2048,723,1480704,808.59523773193359,tol_fun
blk-ipop,8,114008,0,2,large,4096,1185,4853760,877.94931157430017,tol_fun
blk-ipop,8,114008,0,3,large,8192,672,5508096,836.7214139302572,maximum_evaluations
sep-ipop-s015,8,114008,0,0,large,1024,1224,1253376,1116.0415318806965,tol_fun
sep-ipop-s015,8,114008,0,1,large,2048,1508,3088384,930.16890970865882,tol_fun
sep-ipop-s015,8,114008,0,2,large,4096,2012,8241152,846.08559544881189,maximum_evaluations
sep-ipop-s050,8,114008,0,0,large,1024,899,920576,892.61591211954749,tol_fun
sep-ipop-s050,8,114008,0,1,large,2048,1088,2228224,895.63786824544275,tol_fun
sep-ipop-s050,8,114008,0,2,large,4096,2303,9434112,828.25161361694336,maximum_evaluations
sep-ipop,9,114009,0,0,large,1024,1204,1232896,974.64495468139648,tol_fun
sep-ipop,9,114009,0,1,large,2048,1153,2361344,1184.7944424947102,tol_fun
sep-ipop,9,114009,0,2,large,4096,1243,5091328,890.79038111368811,tol_fun
sep-ipop,9,114009,0,3,large,8192,476,3897344,931.13804244995117,maximum_evaluations
blk-ipop,9,114009,0,0,large,1024,691,707584,961.29263687133789,tol_fun
blk-ipop,9,114009,0,1,large,2048,848,1736704,869.8267822265625,tol_fun
blk-ipop,9,114009,0,2,large,4096,956,3915776,828.09557596842444,tol_fun
blk-ipop,9,114009,0,3,large,8192,760,6222848,811.40031687418616,maximum_evaluations
sep-ipop-s015,9,114009,0,0,large,1024,1307,1338368,966.88030370076501,tol_fun
sep-ipop-s015,9,114009,0,1,large,2048,2637,5400576,963.30810928344727,tol_fun
sep-ipop-s015,9,114009,0,2,large,4096,1427,5843968,905.95455169677734,maximum_evaluations
sep-ipop-s050,9,114009,0,0,large,1024,2253,2307072,977.69919459025061,tol_fun
sep-ipop-s050,9,114009,0,1,large,2048,1386,2838528,918.50351333618164,tol_fun
sep-ipop-s050,9,114009,0,2,large,4096,1395,5713920,896.95613225301111,tol_fun
sep-ipop-s050,9,114009,0,3,large,8192,210,1723392,1199.6999130249023,maximum_evaluations
sep-ipop,10,114010,0,0,large,1024,1051,1076224,1236.315242767334,tol_fun
sep-ipop,10,114010,0,1,large,2048,1144,2342912,1059.685152689616,tol_fun
sep-ipop,10,114010,0,2,large,4096,1621,6639616,938.99226633707679,tol_fun
sep-ipop,10,114010,0,3,large,8192,308,2524160,1056.5872611999512,maximum_evaluations
blk-ipop,10,114010,0,0,large,1024,664,679936,1177.5055987040203,tol_fun
blk-ipop,10,114010,0,1,large,2048,1076,2203648,753.37909571329749,tol_fun
blk-ipop,10,114010,0,2,large,4096,1072,4390912,832.06751759847009,tol_fun
blk-ipop,10,114010,0,3,large,8192,648,5308416,899.14125061035156,maximum_evaluations
sep-ipop-s015,10,114010,0,0,large,1024,1161,1188864,1140.3117179870605,condition_number
sep-ipop-s015,10,114010,0,1,large,2048,1550,3174400,897.76005172729492,tol_fun
sep-ipop-s015,10,114010,0,2,large,4096,1680,6881280,1062.9306933085124,tol_fun
sep-ipop-s015,10,114010,0,3,large,8192,163,1338368,1278.1681098937988,maximum_evaluations
sep-ipop-s050,10,114010,0,0,large,1024,1051,1076224,1251.656717936198,tol_fun
sep-ipop-s050,10,114010,0,1,large,2048,1070,2191360,819.54108047485352,tol_fun
sep-ipop-s050,10,114010,0,2,large,4096,1243,5091328,906.22454579671228,tol_fun
sep-ipop-s050,10,114010,0,3,large,8192,516,4224000,951.35410181681311,maximum_evaluations
sep-ipop,11,114011,0,0,large,1024,1438,1472512,1106.4282989501953,tol_fun
sep-ipop,11,114011,0,1,large,2048,1142,2338816,899.1561063130697,tol_fun
sep-ipop,11,114011,0,2,large,4096,2142,8771584,937.09548187255859,maximum_evaluations
blk-ipop,11,114011,0,0,large,1024,645,660480,863.10688527425134,tol_fun
blk-ipop,11,114011,0,1,large,2048,746,1527808,863.34053802490234,tol_fun
blk-ipop,11,114011,0,2,large,4096,1091,4468736,1019.8055038452148,condition_number
blk-ipop,11,114011,0,3,large,8192,723,5925888,810.40951538085938,maximum_evaluations
sep-ipop-s015,11,114011,0,0,large,1024,1071,1096704,847.28033828735352,tol_fun
sep-ipop-s015,11,114011,0,1,large,2048,2497,5113856,819.55505752563477,tol_fun
sep-ipop-s015,11,114011,0,2,large,4096,1556,6372352,1001.7770754496256,maximum_evaluations
sep-ipop-s050,11,114011,0,0,large,1024,1506,1542144,938.42283630371094,tol_fun
sep-ipop-s050,11,114011,0,1,large,2048,2233,4573184,845.71739832560218,tol_fun
sep-ipop-s050,11,114011,0,2,large,4096,1466,6004736,904.40511067708337,tol_fun
sep-ipop-s050,11,114011,0,3,large,8192,57,462848,1596.4079755147297,maximum_evaluations
