arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds
mayfly-single,1,111001,34dcd722-b391-442e-86cf-594c997643e7,completed,completed,v0.7.1,1163.0034344991047,5426414,6502403,2048,6865.859757
mayfly-r16,1,111001,8c89f13b-25b1-4509-a459-a5cf9b923105,completed,completed,v0.7.1,959.26223754882812,5304986,6533123,2048,7421.852661
cmaes-single,1,111001,ab21cdaa-6fcd-4792-b9a2-a229599fdd15,completed,completed,v0.0.0-20260825143954-e528faf326bf,911.22232818603516,1219584,1441795,1408,1358.234388
cmaes-ipop,1,111001,08e0024a-b5ed-4237-af1e-6272873603d1,interrupted,unknown,v0.0.0-20260825143954-e528faf326bf,875.63171641031897,2713600,2713600,2029,3273.661737
