arm,block,seed,jobId,state,termination,optimizerVersion,bestCost,scoredEvaluations,finalEvaluations,iterations,elapsedSeconds
mayfly-single,9,111009,482d378c-f463-4b94-8de4-f17f63d22757,completed,completed,v0.7.1,1255.1011187235515,5680334,6502403,2048,2137.797542
mayfly-r16,9,111009,67abfa48-a0d3-4ed7-91b8-e3e2cb75e1db,completed,completed,v0.7.1,984.63920720418298,2035252,6533123,2048,2327.695590
cmaes-single,9,111009,2ef537f3-5777-4c80-b1eb-145b1c7f2b6a,completed,completed,v0.1.0,911.38956832885742,1498112,1779715,1738,577.097283
cmaes-ipop,9,111009,58327600-cbfc-4e0b-a1f9-cfe55772d8a7,completed,completed,v0.1.0,911.38956832885742,1498112,6502403,3912,1937.384235
sep-cmaes-ipop,9,111009,69a6fb05-5871-4c6c-85f3-7566511f5c55,completed,completed,v0.1.0,865.77431996663415,2623488,6502403,2779,1458.322391
mayfly-single,10,111010,488d17dd-66d6-47a4-8208-f13d3ac0cbb5,completed,completed,v0.7.1,1208.9468015034993,2918954,6502403,2048,2101.144510
mayfly-r16,10,111010,40d60b67-cf75-40a8-9cc0-1f8d479df68a,completed,completed,v0.7.1,974.19400787353516,816640,6533123,2048,2271.606850
cmaes-single,10,111010,2efc8108-933f-4b72-bca6-90ed496ccc20,completed,completed,v0.1.0,902.31730143229163,1295360,1494019,1459,476.818163
cmaes-ipop,10,111010,2cb41a35-d972-428b-9d13-724b342caa4c,completed,completed,v0.1.0,885.73345311482751,3689472,6502403,3422,1943.249655
sep-cmaes-ipop,10,111010,8a90c266-78ca-423b-9306-829c2a52bbda,completed,completed,v0.1.0,883.92442576090491,2508800,6502403,2847,1612.520599
mayfly-single,11,111011,9055f49a-f2b8-49f7-b7bd-78b6b75c5432,completed,completed,v0.7.1,915.97856775919593,6067562,6502403,2048,2019.959406
mayfly-r16,11,111011,48bd2b6c-cc58-4db6-9f1e-c771cc5c465d,completed,completed,v0.7.1,925.19813919067383,408320,6533123,2048,2258.847631
cmaes-single,11,111011,67556f4d-36fa-4062-a7c2-3c693cc9133c,completed,completed,v0.1.0,853.24472427368164,1507328,1766403,1725,604.164641
cmaes-ipop,11,111011,a0a9b34a-443f-43b8-b6ef-6a7951e3029a,completed,completed,v0.1.0,853.24472427368164,1507328,6502403,3727,2028.224101
sep-cmaes-ipop,11,111011,465404c5-b218-431d-ad9a-de329f783b8f,completed,completed,v0.1.0,825.2774327596029,3634176,6502403,3076,1618.671107
mayfly-single,12,111012,f2b6718e-1b5d-490b-a35a-c5051d655f13,completed,completed,v0.7.1,1265.2692540486653,6502400,6502403,2048,2164.159285
mayfly-r16,12,111012,05696c0a-1a5d-4d0f-8f5a-deca96e0216b,completed,completed,v0.7.1,959.59727478027344,1224960,6533123,2048,2231.538387
cmaes-single,12,111012,034b17d0-116e-46b0-b381-4f01a015901d,completed,completed,v0.1.0,940.44022750854492,1054720,1605635,1568,522.244854
cmaes-ipop,12,111012,e66d9e62-03c5-45d8-9a7e-bd91814ee40f,completed,completed,v0.1.0,838.06437047322595,3934208,6502403,3574,1600.645898
sep-cmaes-ipop,12,111012,9c4600b3-a329-4e66-bd6b-30614168a8c6,completed,completed,v0.1.0,854.19841257731116,885760,6502403,3406,1300.802434
