regime,qmc,block,seed,iters,evals,bestCost,initialCost,termination
mid,uniform,18,7018,512,203011,1280.043953,nan,completed
mid,uniform,19,7019,512,203011,983.709971,nan,completed
mid,uniform,20,7020,512,203011,1271.154312,nan,completed
mid,uniform,21,7021,512,203011,946.546047,nan,completed
mid,uniform,22,7022,512,203011,903.219067,nan,completed
mid,uniform,23,7023,512,203011,1153.148964,nan,completed
mid,uniform,24,7024,512,203011,1274.353978,nan,completed
mid,uniform,25,7025,512,203011,1086.125205,nan,completed
mid,uniform,26,7026,512,203011,1293.033822,nan,completed
mid,uniform,27,7027,512,203011,1156.226635,nan,completed
mid,uniform,28,7028,512,203011,1095.394496,nan,completed
mid,uniform,29,7029,512,203011,1308.621806,nan,completed
mid,uniform,30,7030,512,203011,1368.351267,nan,completed
mid,uniform,31,7031,512,203011,1106.688616,nan,completed
mid,uniform,32,7032,512,203011,1198.679375,nan,completed
mid,uniform,33,7033,512,203011,1141.957417,nan,completed
mid,uniform,34,7034,512,203011,934.714925,nan,completed
mid,uniform,35,7035,512,203011,1112.771600,nan,completed
mid,uniform,36,7036,512,203011,996.489390,nan,completed
mid,uniform,37,7037,512,203011,1201.517850,nan,completed
mid,uniform,38,7038,512,203011,1312.687471,nan,completed
mid,uniform,39,7039,512,203011,1060.345662,nan,completed
mid,uniform,40,7040,512,203011,1257.909197,nan,completed
prod,halton,1,7001,512,1627139,982.617556,nan,completed
prod,halton,2,7002,512,1627139,1264.689846,nan,completed
prod,halton,3,7003,512,1627139,989.100030,nan,completed
prod,halton,4,7004,512,1627139,1228.475775,nan,completed
prod,halton,5,7005,512,1627139,1185.251984,nan,completed
prod,halton,6,7006,512,1627139,853.867601,nan,completed
prod,halton,7,7007,512,1627139,964.946466,nan,completed
prod,halton,8,7008,512,1627139,1255.150346,nan,completed
prod,halton,9,7009,512,1627139,1118.412473,nan,completed
prod,halton,10,7010,512,1627139,1202.565428,nan,completed
prod,halton,11,7011,512,1627139,1144.545962,nan,completed
prod,halton,12,7012,512,1627139,1269.556863,nan,completed
prod,halton,13,7013,512,1627139,1116.493776,nan,completed
prod,halton,14,7014,512,1627139,934.404336,nan,completed
prod,halton,15,7015,512,1627139,1273.032574,nan,completed
prod,halton,16,7016,512,1627139,1144.068834,nan,completed
prod,sobol,1,7001,512,1627139,1271.222691,nan,completed
prod,sobol,2,7002,512,1627139,961.485546,nan,completed
prod,sobol,3,7003,512,1627139,1257.122807,nan,completed
prod,sobol,4,7004,512,1627139,1009.316373,nan,completed
prod,sobol,5,7005,512,1627139,1088.651271,nan,completed
prod,sobol,6,7006,512,1627139,1221.783499,nan,completed
prod,sobol,7,7007,512,1627139,981.316612,nan,completed
prod,sobol,8,7008,512,1627139,888.244359,nan,completed
prod,sobol,9,7009,512,1627139,1195.473604,nan,completed
prod,sobol,10,7010,512,1627139,1101.964919,nan,completed
prod,sobol,11,7011,512,1627139,1042.175995,nan,completed
prod,sobol,12,7012,512,1627139,1206.582041,nan,completed
prod,sobol,13,7013,512,1627139,1128.912203,nan,completed
prod,sobol,14,7014,512,1627139,1138.769174,nan,completed
prod,sobol,15,7015,512,1627139,1166.310955,nan,completed
prod,sobol,16,7016,512,1627139,1115.167226,nan,completed
prod,uniform,1,7001,512,1627139,1167.960154,nan,completed
prod,uniform,2,7002,512,1627139,859.250603,nan,completed
prod,uniform,3,7003,512,1627139,1269.789731,nan,completed
prod,uniform,4,7004,512,1627139,1364.129718,nan,completed
prod,uniform,5,7005,512,1627139,948.993417,nan,completed
prod,uniform,6,7006,512,1627139,1016.568055,nan,completed
prod,uniform,7,7007,512,1627139,1173.178146,nan,completed
prod,uniform,8,7008,512,1627139,1136.919871,nan,completed
prod,uniform,9,7009,512,1627139,1026.201251,nan,completed
prod,uniform,10,7010,512,1627139,1077.365257,nan,completed
prod,uniform,11,7011,512,1627139,1211.631285,nan,completed
prod,uniform,12,7012,512,1627139,1230.991346,nan,completed
prod,uniform,13,7013,512,1627139,1151.576862,nan,completed
prod,uniform,14,7014,512,1627139,1216.242469,nan,completed
prod,uniform,15,7015,512,1627139,1314.058365,nan,completed
prod,uniform,16,7016,512,1627139,939.593871,nan,completed
scarce,halton,1,7001,128,25475,1320.233304,nan,completed
scarce,halton,2,7002,128,25475,1185.123055,nan,completed
scarce,halton,3,7003,128,25475,1249.010806,nan,completed
scarce,halton,4,7004,128,25475,1283.017783,nan,completed
scarce,halton,5,7005,128,25475,1220.292077,nan,completed
scarce,halton,6,7006,128,25475,1304.220226,nan,completed
scarce,halton,7,7007,128,25475,1235.314599,nan,completed
scarce,halton,8,7008,128,25475,1373.195708,nan,completed
scarce,halton,9,7009,128,25475,1262.297146,nan,completed
scarce,halton,10,7010,128,25475,1182.304984,nan,completed
scarce,halton,11,7011,128,25475,1218.121984,nan,completed
scarce,halton,12,7012,128,25475,1213.685776,nan,completed
scarce,halton,13,7013,128,25475,1264.351869,nan,completed
scarce,halton,14,7014,128,25475,1403.171939,nan,completed
scarce,halton,15,7015,128,25475,1243.664917,nan,completed
scarce,halton,16,7016,128,25475,1292.452947,nan,completed
scarce,halton,17,7017,128,25475,1008.817689,nan,completed
scarce,halton,18,7018,128,25475,1361.329769,nan,completed
scarce,halton,19,7019,128,25475,1433.930439,nan,completed
scarce,halton,20,7020,128,25475,973.179097,nan,completed
scarce,halton,21,7021,128,25475,995.528501,nan,completed
scarce,halton,22,7022,128,25475,994.517017,nan,completed
scarce,halton,23,7023,128,25475,1354.098292,nan,completed
scarce,halton,24,7024,128,25475,1334.032336,nan,completed
scarce,halton,25,7025,128,25475,1155.316040,nan,completed
