arm,block,seed,stage,restart,regime,population,iterations,evaluations,bestCost,termination
sep-bipop-w60,4,111016,0,10,small,1337,52,69524,1425.8895581563313,maximum_evaluations
sep-bipop-w60,4,111016,0,11,small,1463,30,43890,1605.2571830749512,maximum_evaluations
sep-bipop-w60,4,111016,0,12,small,1827,9,16443,2213.5845108032227,maximum_evaluations
sep-bipop-w60,4,111016,0,13,small,1206,8,9648,7542.8824907938642,maximum_evaluations
sep-bipop-w60,4,111016,0,14,small,1876,1,1876,12283.490697224936,maximum_evaluations
sep-bipop-w60,4,111016,0,15,small,1182,1,1182,24913.753281911213,maximum_evaluations
sep-ipop,5,111017,0,0,large,1024,895,916480,1324.7440388997395,tol_fun
sep-ipop,5,111017,0,1,large,2048,1825,3737600,872.21657053629554,tol_fun
sep-ipop,5,111017,0,2,large,4096,451,1848320,931.85785293579102,maximum_evaluations
sep-ipop-w60,5,111017,0,0,large,1024,444,454656,1325.3968035380046,stagnation
sep-ipop-w60,5,111017,0,1,large,2048,1137,2328576,973.06189092000329,stagnation
sep-ipop-w60,5,111017,0,2,large,4096,908,3719168,904.39809799194336,maximum_evaluations
sep-bipop-w60,5,111017,0,0,large,1024,444,454656,1325.3968035380046,stagnation
sep-bipop-w60,5,111017,0,1,small,1024,9,9216,1991.3810068766277,maximum_evaluations
sep-bipop-w60,5,111017,0,2,small,1024,204,208896,1061.2594502766926,maximum_evaluations
sep-bipop-w60,5,111017,0,3,small,1024,55,56320,1426.8806648254395,maximum_evaluations
sep-bipop-w60,5,111017,0,4,small,1024,99,101376,1337.7598686218262,maximum_evaluations
sep-bipop-w60,5,111017,0,5,small,1024,202,206848,1326.0174382527669,maximum_evaluations
sep-bipop-w60,5,111017,0,6,large,2048,769,1574912,911.16036860148108,stagnation
sep-bipop-w60,5,111017,0,7,small,1780,474,843720,970.27247492472327,maximum_evaluations
sep-bipop-w60,5,111017,0,8,small,1024,570,583680,922.0330479939779,maximum_evaluations
